Frame Rate metrix,,,,,,,,,,,
oneplus model medium,,Arcore,,,,,,,,,
sno,uid,total_frames,missed_frames,missed_app_frames,missed_sf_frames,frame_dur_max,frame_dur_avg,,,trace file,
3,10450,527,18,15,5,7.113250372,30.19177179,,,,
4,10450,192,8,8,0,15.10269842,27.43647414,,,,
5,10450,173,5,5,0,17.35364181,44.47440042,,,,
6,10450,299,18,16,3,13.46491536,26.8933858,,,,
7,10513,131,9,9,1,14.65009179,24.35928207,,,,
8,10513,834,10,9,1,12.94658132,37.86157807,,,,
9,10513,838,7,7,0,13.42599129,29.3578878,,,,
10,10513,87,4,4,0,17.81219823,38.44507658,,,,
11,10513,310,15,15,1,13.34491743,26.40692324,,,,
12,10513,184,21,20,1,9.964868656,27.05959801,,,,
13,10513,158,17,16,1,13.20986705,30.1081947,,,,
14,10513,138,10,10,1,11.18477015,29.34885802,,,,
15,10513,170,8,8,0,15.14346044,51.40746176,,,,
16,10513,240,3,3,0,15.54077024,56.62230083,,,,
17,10513,121,9,9,1,14.50558602,45.20885178,,,,
18,10513,254,13,12,1,13.55273715,24.93823983,,,,
19,10513,193,5,4,1,17.26777072,26.60945917,,,,
20,10513,192,4,4,1,17.16777072,26.70945917,,,,
,,,,,,,33.19113734,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
CPU load average of Sony Xperia 10 IV,,,,,,,,,,,
0.5,14.5705197,,,,,,,,,,
1,15.0493078,,,,,,,,,,
1.5,16.401473,,,,,,,,,,
2,14.5905638,,,,,,,,,,
2.5,14.5321712,,,,,,,,,,
3,14.1485304,,,,,,,,,,
3.5,14.2831572,,,,,,,,,,
4,14.4665208,,,,,,,,,,
4.5,14.8856471,,,,,,,,,,
5,14.1576581,,,,,,,,,,
5.5,15.7132144,,,,,,,,,,
6,14.834261,,,,,,,,,,
6.5,14.5297373,,,,,,,,,,
7,14.0551785,,,,,,,,,,
7.5,16.0446919,,,,,,,,,,
8,16.6665609,,,,,,,,,,
8.5,15.3823557,,,,,,,,,,
9,17.485412,,,,,,,,,,
9.5,18.1756587,,,,,,,,,,
10,17.9769974,,,,,,,,,,
10.5,17.8558382,,,,,,,,,,
11,18.5974365,,,,,,,,,,
11.5,17.5712131,,,,,,,,,,
12,20.1525518,,,,,,,,,,
12.5,16.9915366,,,,,,,,,,
13,18.4302817,,,,,,,,,,
13.5,15.7660844,,,,,,,,,,
14,16.7342286,,,,,,,,,,
14.5,17.6744079,,,,,,,,,,
15,16.1466082,,,,,,,,,,
15.5,16.3512394,,,,,,,,,,
16,17.0127998,,,,,,,,,,
16.5,16.7121815,,,,,,,,,,
17,16.4847495,,,,,,,,,,
17.5,16.8757901,,,,,,,,,,
18,15.7386897,,,,,,,,,,
18.5,16.7844269,,,,,,,,,,
19,16.6639463,,,,,,,,,,
19.5,16.0127664,,,,,,,,,,
20,15.6171582,,,,,,,,,,
20.5,15.0018401,,,,,,,,,,
21,14.6640434,,,,,,,,,,
21.5,15.4485509,,,,,,,,,,
22,16.6255722,,,,,,,,,,
22.5,14.6505534,,,,,,,,,,
23,15.5514642,,,,,,,,,,
23.5,14.0602017,,,,,,,,,,
24,16.1521732,,,,,,,,,,
24.5,14.6960537,,,,,,,,,,
25,15.1912057,,,,,,,,,,
25.5,13.7568483,,,,,,,,,,
26,14.0742003,,,,,,,,,,
26.5,14.7684918,,,,,,,,,,
27,14.2455789,,,,,,,,,,
27.5,16.0605501,,,,,,,,,,
28,12.8882356,,,,,,,,,,
28.5,15.6842676,,,,,,,,,,
29,15.2117357,,,,,,,,,,
29.5,14.3841329,,,,,,,,,,
30,14.6110759,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
FPS ,SONY,Model 1,,,,,,,,,
,,,,,,,,,,,
Session ,FPS AVG,,,,,,,,,,
1,38.23897001,,,,,,,,,,
2,51.14977534,,,,,,,,,,
3,30.72276943,,,,,,,,,,
4,41.64873689,,,,,,,,,,
5,29.0613785,,,,,,,,,,
6,35.56992138,,,,,,,,,,
7,29.32379505,,,,,,,,,,
8,34.20161428,,,,,,,,,,
9,65.07101688,,,,,,,,,,
10,29.50881747,,,,,,,,,,
11,40.50064795,,,,,,,,,,
12,52.21834495,,,,,,,,,,
13,29.75433246,,,,,,,,,,
14,43.74917287,,,,,,,,,,
15,29.38667108,,,,,,,,,,
16,32.45657732,,,,,,,,,,
17,44.74871182,,,,,,,,,,
18,38.56997944,,,,,,,,,,
19,22.19388803,,,,,,,,,,
20,42.27462867,,,,,,,,,,
,38.0174,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,sony web xr frame rate ,,Model1,,,,,,,,
avg,,,converted,,,,,,,,
11576183,,1,86.38429,,,,,,,,
51629505,,2,39.36876985,,,,,,,,
9470530,,3,85.5907114,,,,,,,,
11793155,,4,84.79495097,,,,,,,,
9923375,,5,100.7721667,,,,,,,,
,,6,47.92214147,,,,,,,,
,,7,46.48299457,,,,,,,,
,,8,35.8450897,,,,,,,,
,,9,41.34627856,,,,,,,,
,,10,38.27456379,,,,,,,,
,,11,33.734652,,,,,,,,
,,12,37.7384657,,,,,,,,
,,13,56.8324798,,,,,,,,
,,14,35.3783945,,,,,,,,
,,15,37.398425,,,,,,,,
,,16,30.98234798,,,,,,,,
,,17,40.9384572,,,,,,,,
,,18,32.3294876,,,,,,,,
,,19,73.98452639,,,,,,,,
,,20,32.49342858,,,,,,,,
,,,50.92,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Model 1,one plus FPS WEbXR,,,,,,,,,
,1,96.38429,,,,,,,,,
,2,39.36876983,,,,,,,,,
,3,87.5907114,,,,,,,,,
,4,86.79395096,,,,,,,,,
,5,100.7421667,,,,,,,,,
,6,102.5214147,,,,,,,,,
,7,49.48245454,,,,,,,,,
,8,52.4453897,,,,,,,,,
,9,41.44627833,,,,,,,,,
,10,48.47456379,,,,,,,,,
,11,53.434352,,,,,,,,,
,12,27.4383657,,,,,,,,,
,13,76.8323798,,,,,,,,,
,14,75.4783945,,,,,,,,,
,15,47.3983425,,,,,,,,,
,16,70.98233798,,,,,,,,,
,17,40.4384572,,,,,,,,,
,18,32.3234876,,,,,,,,,
,19,73.38352639,,,,,,,,,
,20,67.49332858,,,,,,,,,
,AVG,63.52264811,,,,,,,,,
